Name	Type	County	Class	Population (2018 Estimates)	Incorporation date (as city)	Sq Miles
Aliquippa	City	Beaver	Third	8908	1987	4.19
Allentown	City	Lehigh	Third	123828	1867	17.55
Altoona	City	Blair	Third	43702	1868	9.91
Arnold	City	Westmoreland	Third	4980	1939	0.73
Beaver Falls	City	Beaver	Third	8387	1928	2.13
Bethlehem	City	Lehigh + Northampton	Third	77283	1917	19.1
Bloomsburg	Town	Columbia	Third	14536	1929	4.35
Bradford	City	McKean	Third	8305	1879	3.35
Butler	City	Butler	Third	13107	1918	2.72
Carbondale	City	Lackawanna	Third	8447	1851	3.24
Chester	City	Delaware	Third	34077	1866	4.84
Clairton	City	Allegheny	Third	6611	1922	2.79
Coatesville	City	Chester	Third	13123	1915	1.81
Connellsville	City	Fayette	Third	7368	1911	2.18
Corry	City	Erie	Third	6347	1866	5.99
Du Bois	City	Clearfield	Third	8767	1914	3.18
Duquesne	City	Allegheny	Third	5547	1918	1.82
Easton	City	Northampton	Third	27109	1887	4.07
Erie	City	Erie	Third	97369	1851	19.08
Farrell	City	Mercer	Third	4687	1932	1.27
Franklin	City	Venango	Third	6078	1868	4.68
Greensburg	City	Westmoreland	Third	14299	1928	4.06
Harrisburg	City	Dauphin	Third	49229	1860	8.13
Hazleton	City	Luzerne	Third	24723	1891	6.01
Hermitage	City	Mercer	Third	15635	1976	29.23
Jeannette	City	Westmoreland	Third	9133	1938	2.39
Johnstown	City	Cambria	Third	19447	1889	5.89
Lancaster	City	Lancaster	Third	59420	1818	7.23
Latrobe	City	Westmoreland	Third	8436	1999	2.32
Lebanon	City	Lebanon	Third	25770	1885	4.17
Lock Haven	City	Clinton	Third	9284	1870	2.5
Lower Burrell	City	Westmoreland	Third	11228	1959	11.26
McCandless	Town	Allegheny	Third	28563	1851	16.5
McKeesport	City	Allegheny	Third	19245	1891	5.5
Meadville	City	Crawford	Third	12973	1866	4.38
Monessen	City	Westmoreland	Third	7339	1921	2.89
Monongahela	City	Washington	Third	4146	1873	1.98
Nanticoke	City	Luzerne	Third	10279	1926	3.49
New Castle	City	Lawrence	Third	22069	1869	8.31
New Kensington	City	Westmoreland	Third	12466	1934	3.95
Oil City	City	Venango	Third	9863	1871	4.49
Parker	City	Armstrong	Third	810	1873	0.87
Philadelphia	City	Philadelphia	First	1584981	1701	134.1
Pittsburgh	City	Allegheny	Second	302407	1816	55.37
Pittston	City	Luzerne	Third	7694	1894	1.55
Pottsville	City	Schuylkill	Third	13557	1911	4.89
Reading	City	Berks	Third	89872	1847	9.88
St. Marys	City	Elk	Third	12370	1992	99.32
Scranton	City	Lackawanna	Second A	77182	1866	25.31
Shamokin	City	Northumberland	Third	7234	1949	0.83
Sharon	City	Mercer	Third	13259	1917	3.77
Sunbury	City	Northumberland	Third	9519	1920	2.06
Titusville	City	Crawford	Third	5239	1866	2.9
Uniontown	City	Fayette	Third	9824	1864	2.04
Warren	City	Warren	Third	9162	1832	2.91
Washington	City	Washington	Third	13566	1924	2.95
Wilkes-Barre	City	Luzerne	Third	40806	1871	6.98
Williamsport	City	Lycoming	Third	30178	1866	8.73
York	City	York	Third	44118	1887	5.29